               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.086027,            0.068674,            0.048202,           0.0034893,           0.0019493,          0.00014443,           5.208e-05,            0.080595,              0.0631,            0.046392,            0.006535,            0.006535,            0.006535
                  37,            0.082735,            0.076554,            0.047467,           0.0059853,            0.002924,           9.535e-05,          1.9403e-05,             0.08769,             0.10749,            0.046568,            0.006436,            0.006436,            0.006436
                  38,            0.084136,            0.076843,            0.048246,          0.00079492,            0.024947,          0.00051919,          0.00013437,            0.087513,            0.064036,            0.045341,            0.006337,            0.006337,            0.006337
                  39,            0.084574,            0.079956,            0.047531,           0.0014401,            0.046376,           0.0016572,          0.00057717,            0.079532,            0.052394,            0.044973,            0.006238,            0.006238,            0.006238
                  40,            0.086108,            0.079836,            0.047968,           0.0011582,            0.054515,          0.00068306,          0.00018604,            0.078405,            0.059654,            0.045622,            0.006139,            0.006139,            0.006139
                  41,            0.083767,            0.075827,            0.047924,           0.0082122,             0.11206,           0.0067988,           0.0028621,                 nan,                 nan,            0.073566,             0.00604,             0.00604,             0.00604
                  42,            0.083212,            0.062184,            0.048162,           0.0038787,           0.0022333,           0.0019639,          0.00062069,            0.094712,              1.6568,            0.051971,            0.005941,            0.005941,            0.005941
                  43,            0.086805,            0.072269,            0.048191,             0.16694,           0.0077973,          0.00013282,          3.9084e-05,            0.080563,             0.16736,            0.061525,            0.005842,            0.005842,            0.005842
                  44,                 nan,                 nan,            0.049289,             0.17349,           0.0019493,           0.0037283,          0.00059924,                 nan,                 nan,            0.054048,            0.005743,            0.005743,            0.005743
                  45,            0.095371,             0.94894,            0.062198,          0.00093837,            0.095245,           0.0014477,          0.00025307,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                  46,                 nan,                 nan,            0.072221,                   0,                   0,                   0,                   0,                 nan,                 nan,             0.26222,            0.005545,            0.005545,            0.005545
                  47,              0.1055,              2.1233,            0.076545,          0.00035417,            0.022714,          0.00019273,          3.5482e-05,                 nan,                 nan,            0.089126,            0.005446,            0.005446,            0.005446
                  48,             0.10917,              2.1409,            0.078371,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.096051,            0.005347,            0.005347,            0.005347
                  49,             0.11213,              2.1517,            0.079207,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.095356,            0.005248,            0.005248,            0.005248
                  50,             0.11474,              2.1739,             0.07924,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.097541,            0.005149,            0.005149,            0.005149
                  51,                 nan,                 nan,            0.079068,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.094424,             0.00505,             0.00505,             0.00505
                  52,                 nan,                 nan,            0.078549,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.093567,            0.004951,            0.004951,            0.004951
                  53,             0.11428,               2.135,             0.07931,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.093718,            0.004852,            0.004852,            0.004852
                  54,             0.11518,              2.1363,            0.079294,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.092551,            0.004753,            0.004753,            0.004753
                  55,                 nan,                 nan,            0.078826,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.099293,            0.004654,            0.004654,            0.004654
                  56,             0.11326,              2.0845,            0.077749,                   0,                   0,                   0,                   0,                 nan,                 nan,             0.09426,            0.004555,            0.004555,            0.004555
                  57,                 nan,                 nan,            0.078433,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.094826,            0.004456,            0.004456,            0.004456
                  58,                 nan,                 nan,            0.078886,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.095243,            0.004357,            0.004357,            0.004357
                  59,                 nan,                 nan,            0.078352,          2.7672e-05,          0.00097466,          1.5867e-05,          1.5867e-06,                 nan,                 nan,            0.097616,            0.004258,            0.004258,            0.004258
                  60,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004159,            0.004159,            0.004159
                  61,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  62,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003961,            0.003961,            0.003961
                  63,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003862,            0.003862,            0.003862
                  64,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003763,            0.003763,            0.003763
                  65,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003664,            0.003664,            0.003664
                  66,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003565,            0.003565,            0.003565
                  67,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003466,            0.003466,            0.003466
                  68,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003367,            0.003367,            0.003367
                  69,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003268,            0.003268,            0.003268
                  70,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003169,            0.003169,            0.003169
                  71,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  72,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002971,            0.002971,            0.002971
                  73,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002872,            0.002872,            0.002872
                  74,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002773,            0.002773,            0.002773
                  75,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002674,            0.002674,            0.002674
                  76,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002575,            0.002575,            0.002575
                  77,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002476,            0.002476,            0.002476
                  78,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002377,            0.002377,            0.002377
                  79,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002278,            0.002278,            0.002278
                  80,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002179,            0.002179,            0.002179
                  81,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
